"date","samples","bases sequenced (MB)"
"2018-06-21","12",182442
"2018-06-21","8",5189.07
"2018-06-22","26",55087.030000000006
"2018-06-27","13",27379.17
"2018-06-27","6",25355.86
"2018-06-27","12",167092.54000000004
"2018-07-03","7",3330.5399999999995
"2018-07-04","25",57492.81
"2018-07-04","8",3241.69
"2018-07-04","12",157831.86999999997
"2018-07-05","5",3493.36
"2018-07-06","25",60682.14
"2018-07-11","5",3247.37
"2018-07-12","12",155247.50000000003
"2018-07-14","31",54763.360000000015
"2018-07-18","12",163377.98
"2018-07-18","8",5741.31
"2018-07-20","12",172104.21999999997
"2018-07-20","25",54725.340000000004
"2018-07-25","8",4660.71
"2018-07-26","8",4762.150000000001
"2018-07-26","12",195005.18000000002
"2018-07-27","26",52147.67
"2018-08-02","8",4992.089999999999
"2018-08-02","12",148672.25
"2018-08-08","30",51548.380000000005
"2018-08-09","12",175859.5
"2018-08-09","8",4562.57
"2018-08-17","12",149692.70999999996
"2018-08-17","29",52581.419999999984
"2018-08-22","8",4941.25
"2018-08-27","30",5805.049999999999
"2018-08-29","12",173191.32
"2018-08-29","32",56824.68000000001
"2018-08-30","8",3856.34
"2018-09-03","16",44749.06999999999
"2018-09-05","11",147007.22999999998
"2018-09-05","8",4708.27
"2018-09-07","12",158495.60000000003
"2018-09-11","28",47020.270000000004
"2018-09-13","12",133506.30000000002
"2018-09-17","8",1922.2
"2018-09-18","8",3568.32
"2018-09-20","11",140787.52000000002
"2018-09-21","29",50186.71
"2018-09-25","12",165686.8
"2018-09-28","24",53169.05000000001
"2018-10-01","8",3321.13
"2018-10-04","8",2874.48
"2018-10-05","12",158226.03999999998
"2018-10-05","23",48952.01999999999
"2018-10-11","8",4929.42
"2018-10-11","16",38368.97
"2018-10-17","30",49298.18
"2018-10-18","12",154074.96000000002
"2018-10-18","8",4544.32
"2018-10-24","8",5110.08
"2018-10-25","12",158094.87
"2018-10-26","25",46530.48
"2018-11-07","12",171804.91999999998
"2018-11-07","30",49338.34999999999
"2018-11-09","12",139696.07
"2018-11-12","8",5123.68
"2018-11-14","30",52141.76999999999
"2018-11-16","12",118257.7
"2018-11-21","8",4611.36
"2018-11-21","8",3066.8900000000003
"2018-11-27","27",50014.6
"2018-11-29","8",4647.33
"2018-11-29","12",173404.15000000002
"2018-12-03","12",160880.79
"2018-12-05","30",51211.91
"2018-12-07","6",23327.7
"2018-12-14","12",153725.41000000003
"2018-12-14","27",50366.28000000001
"2018-12-17","7",4429.03
"2018-12-21","12",136480.78
"2018-12-21","22",55627.55
"2018-12-27","8",4987.18
"2019-01-04","12",177641.36
"2019-01-07","8",3934.5
"2019-01-09","8",4398.84
"2019-01-10","8",4542.589999999999
"2019-01-11","12",160411.81
"2019-01-11","26",52761.04000000001
"2019-01-14","30",50555.59
"2019-01-17","8",4551.46
"2019-01-18","12",165322.52000000002
"2019-01-21","12",146186.87
"2019-01-22","27",52714.47000000001
"2019-01-30","35",52823.75000000001
"2019-01-31","8",5090.44
"2019-01-31","12",151296.12
"2019-02-04","8",4914.3
"2019-02-05","12",155218.75
"2019-02-07","33",43121.78999999999
"2019-02-08","12",148147.65
"2019-02-12","8",4623.629999999999
"2019-02-13","35",53647.86000000001
"2019-02-14","4",20739.629999999997
"2019-02-15","12",135419.61
"2019-02-18","8",4922.910000000001
"2019-02-20","35",57127.079999999994
"2019-02-22","6",37976.37
"2019-02-25","8",4849.94
"2019-02-26","12",127212.17
"2019-02-28","12",120221.59000000001
"2019-02-28","35",54108.899999999994
"2019-03-04","8",4296.64
"2019-03-06","35",48533.25999999999
"2019-03-07","12",136821.75
"2019-03-13","35",42370.549999999996
"2019-03-14","8",4096.94
"2019-03-18","35",43007.229999999996
"2019-03-19","12",170449.15
"2019-03-19","16",122751.33
"2019-03-20","8",4413.42
