"date","samples","bases sequenced (MB)"
"2022-04-27","20",46885.939999999995
"2022-04-29","40",49173.52999999999
"2022-04-29","20",312834.32999999996
"2022-05-02","8",4315.69
"2022-05-03","46",7334244.979999999
"2022-05-04","16",48854.36
"2022-05-05","8",4688.379999999999
"2022-05-06","40",45825.08999999999
"2022-05-09","16",47654.840000000004
"2022-05-11","20",48992.21000000001
"2022-05-13","40",49774.33000000001
"2022-05-16","3",564304.4199999999
"2022-05-17","8",4118.03
"2022-05-18","20",51090.65
"2022-05-20","48",5788932.790000001
"2022-05-24","3",543727.25
"2022-05-24","40",44544.20999999999
"2022-05-24","8",4109.6900000000005
"2022-05-25","20",47187.55999999999
"2022-05-27","20",49092.92999999999
"2022-05-30","3",557664.54
"2022-05-30","8",3969.44
"2022-05-31","20",294193.53
"2022-05-31","40",43447.840000000004
"2022-06-01","8",3954
"2022-06-02","20",47668.329999999994
"2022-06-03","40",44372.479999999996
"2022-06-03","44",3226659.590000001
"2022-06-07","20",49944.229999999996
"2022-06-10","20",51631.28999999999
"2022-06-15","40",47090.62999999999
"2022-06-15","20",499215.57000000007
"2022-06-17","20",51794.57
"2022-06-20","20",51129.770000000004
"2022-06-21","48",7080394.199999998
"2022-06-22","20",54259.94
"2022-06-23","8",4462.490000000001
"2022-06-23","8",4520.76
"2022-06-24","42",5574590.349999999
"2022-06-24","40",49784.05
"2022-06-27","20",53905.369999999995
"2022-06-27","3",611574.15
"2022-06-28","12",78901.07000000002
"2022-06-30","20",280154.81
"2022-06-30","40",46194.900000000016
"2022-06-30","3",610066.2799999999
"2022-07-01","19",50666.520000000004
"2022-07-04","2",584445.79
"2022-07-04","8",3929.9500000000007
"2022-07-07","3",587332.71
"2022-07-08","3",585736.05
"2022-07-08","18",52507.05999999998
"2022-07-12","47",6781256.69
"2022-07-13","40",46814.280000000006
"2022-07-18","19",54222.57
"2022-07-19","8",4267.9400000000005
"2022-07-20","31",44131.99999999999
"2022-07-22","20",53681.05
"2022-07-25","8",4297.69
"2022-07-26","48",7075087.13
"2022-07-27","20",315180.23999999993
"2022-07-27","40",45420.969999999994
"2022-07-29","20",51500.610000000015
"2022-08-01","8",3746.26
"2022-08-01","8",4540.33
"2022-08-01","3",580420.6699999999
"2022-08-03","40",43764.05999999999
"2022-08-05","19",48671.409999999996
"2022-08-05","8",4333.9400000000005
"2022-08-10","39",51319.85000000001
"2022-08-11","8",3954.54
"2022-08-12","16",46998.1
"2022-08-15","16",50804.78
"2022-08-16","8",4457.36
"2022-08-16","3",594213.66
"2022-08-19","40",45256.78
"2022-08-19","8",3838.6699999999996
"2022-08-23","16",42614.8
"2022-08-24","8",4353.95
"2022-08-25","3",555407.15
"2022-08-26","41",51024.83
"2022-08-26","47",7280382.8900000015
"2022-08-26","10",164225.4
"2022-08-29","3",530558.79
"2022-08-30","8",4779.31
"2022-08-31","19",49752.170000000006
"2022-09-01","3",535647.96
"2022-09-02","40",49433.21999999999
"2022-09-06","8",4228.039999999999
"2022-09-08","19",49916.39
"2022-09-09","40",56345.35
"2022-09-12","8",4443.139999999999
"2022-09-13","6",1212871.82
"2022-09-13","48",7495092.64
"2022-09-14","20",49476.259999999995
"2022-09-15","8",3924.69
"2022-09-15","8",4270.740000000001
"2022-09-15","2",561305.15
"2022-09-16","40",52564.72000000001
"2022-09-20","3",609791.04
"2022-09-21","8",3663.88
"2022-09-21","3",541441.27
"2022-09-22","20",48570.479999999996
"2022-09-23","40",48998.77999999999
"2022-09-26","3",425532.79000000004
"2022-09-27","8",3868.6600000000003
"2022-09-28","18",51001.439999999995
"2022-09-30","40",46303.310000000005
"2022-09-30","3",564593.24
